año,mes,máxima,mínima,media
1991,Enero,28.4,19.8,24.1
1991,Febrero,27.8,17.8,22.8
1991,Marzo,27.6,18.4,23
1991,Abril,22.4,13.6,18
1991,Mayo,20.7,12.2,16.45
1991,Junio,14.8,7.6,11.2
1991,Julio,14.8,6.7,10.75
1991,Agosto,17.1,9.3,13.2
1991,Septiembre,20.5,11.7,16.1
1991,Octubre,21.1,12.2,16.65
1991,Noviembre,24.3,15.3,19.8
1991,Diciembre,27.8,18.7,23.25
1992,Enero,28.5,19.8,24.15
1992,Febrero,29,19.8,24.4
1992,Marzo,27.4,18.9,23.15
1992,Abril,21.9,13.2,17.55
1992,Mayo,18.5,10.1,14.3
1992,Junio,16.6,10.3,13.45
1992,Julio,12.6,5.3,8.95
1992,Agosto,17.8,8.5,13.15
1992,Septiembre,19.1,10.3,14.7
1992,Octubre,23.6,12.9,18.25
1992,Noviembre,23.4,14,18.7
1992,Diciembre,27.7,18.7,23.2
1993,Enero,30.7,21.2,25.95
1993,Febrero,27,19,23
1993,Marzo,28,18.8,23.4
1993,Abril,23.2,14.6,18.9
1993,Mayo,18.4,10.7,14.55
1993,Junio,15.5,8.5,12
1993,Julio,13.7,6.2,9.95
1993,Agosto,18.2,8,13.1
1993,Septiembre,18.3,9.4,13.85
1993,Octubre,20.9,14.2,17.55
1993,Noviembre,23.6,15.8,19.7
1993,Diciembre,25.8,18.2,22
1994,Enero,28.4,18.7,23.55
1994,Febrero,28.9,19.3,24.1
1994,Marzo,26.6,17.6,22.1
1994,Abril,22.3,13.2,17.75
1994,Mayo,20.2,12.5,16.35
1994,Junio,16.6,9.6,13.1
1994,Julio,15.3,7.5,11.4
1994,Agosto,17,8.8,12.9
1994,Septiembre,20.3,11.7,16
1994,Octubre,21.6,13.3,17.45
1994,Noviembre,26.9,17.1,22
1994,Diciembre,30.7,20.5,25.6
1995,Enero,29.4,19.5,24.45
1995,Febrero,28.4,18.4,23.4
1995,Marzo,27.4,17.3,22.35
1995,Abril,23.3,13.5,18.4
1995,Mayo,19.5,10.8,15.15
1995,Junio,15.7,7.2,11.45
1995,Julio,15.4,7,11.2
1995,Agosto,16.9,7.8,12.35
1995,Septiembre,19.9,11.1,15.5
1995,Octubre,22.3,12.6,17.45
1995,Noviembre,26.4,17,21.7
1995,Diciembre,30.1,19.3,24.7
1996,Enero,30.1,19.9,25
1996,Febrero,28.9,19.1,24
1996,Marzo,28.5,18.8,23.65
1996,Abril,22.8,14.8,18.8
1996,Mayo,20.5,10.8,15.65
1996,Junio,15,5.6,10.3
1996,Julio,14.6,5.9,10.25
1996,Agosto,20.3,10.3,15.3
1996,Septiembre,18.5,9.6,14.05
1996,Octubre,23.1,14.2,18.65
1996,Noviembre,26.9,17.1,22
1996,Diciembre,29.6,20,24.8
1997,Enero,31.5,21.7,26.6
1997,Febrero,28.4,18.6,23.5
1997,Marzo,27.7,17.9,22.8
1997,Abril,25.4,15.2,20.3
1997,Mayo,21.5,12.5,17
1997,Junio,15.9,9,12.45
1997,Julio,17.8,10.5,14.15
1997,Agosto,19.3,10.5,14.9
1997,Septiembre,19.3,10,14.65
1997,Octubre,21.7,13.5,17.6
1997,Noviembre,24.6,15.9,20.25
1997,Diciembre,26.7,17.6,22.15
1998,Enero,27.2,18.3,22.75
1998,Febrero,26.2,17.5,21.85
1998,Marzo,25.6,16.2,20.9
1998,Abril,22,14.6,18.3
1998,Mayo,19.5,11.6,15.55
1998,Junio,16.4,8.2,12.3
1998,Julio,16.6,9.3,12.95
1998,Agosto,17.2,7.8,12.5
1998,Septiembre,18.6,8.7,13.65
1998,Octubre,23.5,13.6,18.55
1998,Noviembre,24.7,15.5,20.1
1998,Diciembre,28.4,17.6,23
1999,Enero,27.4,18.1,22.75
1999,Febrero,27.9,18.8,23.35
1999,Marzo,27.2,18.7,22.95
1999,Abril,20.7,12.6,16.65
1999,Mayo,19.1,10.3,14.7
1999,Junio,15.2,8.1,11.65
1999,Julio,15.2,7.3,11.25
1999,Agosto,18.5,8.6,13.55
1999,Septiembre,19.8,11.4,15.6
1999,Octubre,22.2,13.6,17.9
1999,Noviembre,25.8,15.7,20.75
1999,Diciembre,29.8,18.2,24
2000,Enero,30.5,21.2,25.85
2000,Febrero,29.2,20.2,24.7
2000,Marzo,26.5,17.4,21.95
2000,Abril,23.3,14.7,19
2000,Mayo,17.5,11,14.25
2000,Junio,16,10.1,13.05
2000,Julio,13,5.9,9.45
2000,Agosto,16.7,8.1,12.4
2000,Septiembre,18.7,10.2,14.45
2000,Octubre,21.3,13.9,17.6
2000,Noviembre,24,14.9,19.45
2000,Diciembre,28.8,17.9,23.35
2001,Enero,30.2,20.9,25.55
2001,Febrero,29.9,20,24.95
2001,Marzo,26.9,19,22.95
2001,Abril,23.1,13.6,18.35
2001,Mayo,17.6,10.1,13.85
2001,Junio,16.7,8.7,12.7
2001,Julio,15.3,7,11.15
2001,Agosto,19.4,11.1,15.25
2001,Septiembre,18.7,10.7,14.7
2001,Octubre,21.3,14.6,17.95
2001,Noviembre,24.7,15.7,20.2
2001,Diciembre,27.8,18,22.9
2002,Enero,29.6,19.6,24.6
2002,Febrero,28.3,18.3,23.3
2002,Marzo,25.9,18.2,22.05
2002,Abril,21.6,13,17.3
2002,Mayo,20.8,12.4,16.6
2002,Junio,15.4,6.3,10.85
2002,Julio,15.3,7.4,11.35
2002,Agosto,18.8,10,14.4
2002,Septiembre,19.3,10.5,14.9
2002,Octubre,24.1,14.9,19.5
2002,Noviembre,26.5,16.5,21.5
2002,Diciembre,27.3,18.2,22.75
2003,Enero,30.7,20.1,25.4
2003,Febrero,28.5,18.4,23.45
2003,Marzo,27,18.1,22.55
2003,Abril,22,13.1,17.55
2003,Mayo,19.5,11.2,15.35
2003,Junio,16.8,9.1,12.95
2003,Julio,15.9,6.4,11.15
2003,Agosto,16.5,7.5,12
2003,Septiembre,19.2,9.8,14.5
2003,Octubre,24.1,13.9,19
2003,Noviembre,25.3,15.5,20.4
2003,Diciembre,27.2,16.3,21.75
2004,Enero,30.4,19.8,25.1
2004,Febrero,28.1,18.4,23.25
2004,Marzo,28.5,18.6,23.55
2004,Abril,24.7,15.3,20
2004,Mayo,17.6,9.1,13.35
2004,Junio,17.3,9.7,13.5
2004,Julio,16.4,8.1,12.25
2004,Agosto,17.9,9.7,13.8
2004,Septiembre,21.2,10.9,16.05
2004,Octubre,22.5,12.4,17.45
2004,Noviembre,24.1,15.3,19.7
2004,Diciembre,28.2,18.5,23.35
2005,Enero,31.2,20.3,25.75
2005,Febrero,28.5,19.9,24.2
2005,Marzo,26.1,16.7,21.4
2005,Abril,22.6,11.6,17.1
2005,Mayo,19.3,10.3,14.8
2005,Junio,17.7,10.5,14.1
2005,Julio,16.4,8.8,12.6
2005,Agosto,17.2,8.7,12.95
2005,Septiembre,18.6,9.7,14.15
2005,Octubre,22.6,11.6,17.1
2005,Noviembre,28,17.1,22.55
2005,Diciembre,28.1,16.5,22.3
2006,Enero,29.2,20,24.6
2006,Febrero,28.9,19.4,24.15
2006,Marzo,25.3,15.8,20.55
2006,Abril,23.6,14.4,19
2006,Mayo,18.5,9.2,13.85
2006,Junio,16.9,9.3,13.1
2006,Julio,17.8,10.4,14.1
2006,Agosto,16.8,8,12.4
2006,Septiembre,20.8,10.5,15.65
2006,Octubre,24.7,14.8,19.75
2006,Noviembre,25.5,15.6,20.55
2006,Diciembre,29.6,19.7,24.65
2007,Enero,29.4,20.1,24.75
2007,Febrero,30.1,19.7,24.9
2007,Marzo,26,18,22
2007,Abril,23.2,14.5,18.85
2007,Mayo,17.1,8.3,12.7
2007,Junio,15.6,6,10.8
2007,Julio,14.1,4.6,9.35
2007,Agosto,14.6,5.9,10.25
2007,Septiembre,21.4,12.7,17.05
2007,Octubre,23.7,14.4,19.05
2007,Noviembre,25,12.7,18.85
2007,Diciembre,29.3,18,23.65
2008,Enero,30.6,20.6,25.6
2008,Febrero,29.9,20.7,25.3
2008,Marzo,26.6,17.6,22.1
2008,Abril,24.9,13.1,19
2008,Mayo,20.8,10.6,15.7
2008,Junio,16.2,7.3,11.75
2008,Julio,17.7,10.7,14.2
2008,Agosto,17.9,7.8,12.85
2008,Septiembre,18.6,10.5,14.55
2008,Octubre,23.3,13.3,18.3
2008,Noviembre,30,19.5,24.75
2008,Diciembre,29.3,19.3,24.3
2009,Enero,31.1,20.6,25.85
2009,Febrero,29.9,19.4,24.65
2009,Marzo,28.2,19,23.6
2009,Abril,25,14.4,19.7
2009,Mayo,21.2,11.5,16.35
2009,Junio,16.1,7.1,11.6
2009,Julio,15.5,6.1,10.8
2009,Agosto,21.1,10.5,15.795
2009,Septiembre,17.8,9.4,13.6
2009,Octubre,22.8,12.8,17.8
2009,Noviembre,25.7,16.6,21.15
2009,Diciembre,27,18.1,22.55
2010,Enero,31.1,20.9,26
2010,Febrero,28.2,20.2,24.2
2010,Marzo,27.6,18.5,23.05
2010,Abril,22.9,13.1,18
2010,Mayo,20.1,11.7,15.9
2010,Junio,16.9,8.8,12.85
2010,Julio,15.3,7,11.15
2010,Agosto,16.6,7.2,11.9
2010,Septiembre,19.6,10.9,15.25
2010,Octubre,21.8,12.2,17
2010,Noviembre,26.5,15.2,20.85
2010,Diciembre,30.6,19.6,25.1
2011,Enero,30.6,20.9,25.75
2011,Febrero,28.6,19.4,24
2011,Marzo,27.4,17.6,22.5
2011,Abril,23.7,14.1,18.9
2011,Mayo,19,10.7,14.85
2011,Junio,15.6,8.4,12
2011,Julio,15.6,6.7,11.15
2011,Agosto,15.1,7.7,11.4
2011,Septiembre,21.7,10.5,16.1
2011,Octubre,22.1,12.5,17.3
2011,Noviembre,27.7,17.5,22.6
2011,Diciembre,28.1,17.7,22.9
2012,Enero,31.8,20.7,26.25
2012,Febrero,30,19.7,24.85
2012,Marzo,26.6,16.8,21.7
2012,Abril,23.3,12.8,18.05
2012,Mayo,20.6,13.2,16.9
2012,Junio,16.6,7.9,12.25
2012,Julio,14.7,4.9,9.8
2012,Agosto,17.3,10.2,13.75
2012,Septiembre,20.2,11.1,15.65
2012,Octubre,22.6,14,18.3
2012,Noviembre,27.7,17.1,22.4
2012,Diciembre,29.9,19.1,24.5
2013,Enero,30.3,20.2,25.25
2013,Febrero,29.1,19.2,24.15
2013,Marzo,25.2,15.4,20.3
2013,Abril,24.3,13.9,19.1
2013,Mayo,19.4,10.6,15
2013,Junio,17.8,8.1,12.95
2013,Julio,16.3,7.7,12
2013,Agosto,18,7.3,12.65
2013,Septiembre,18.8,10,14.4
2013,Octubre,23,13.9,18.45
2013,Noviembre,26.1,16.1,21.1
2013,Diciembre,32.5,21.5,27
2014,Enero,31.2,20,25.6
2014,Febrero,27,18.9,22.95
2014,Marzo,25.5,15.9,20.7
2014,Abril,22.4,14.2,18.3
2014,Mayo,18.5,11.4,14.95
2014,Junio,17,7.8,12.4
2014,Julio,16.5,8.3,12.4
2014,Agosto,20.5,10.2,15.35
2014,Septiembre,20.7,11.5,16.1
2014,Octubre,24.8,15.6,20.2
2014,Noviembre,26.1,15.7,20.9
2014,Diciembre,29,17.9,23.45
2015,Enero,29.4,19.2,24.3
2015,Febrero,29.5,20,24.75
2015,Marzo,28,17.9,22.95
2015,Abril,26,15.4,20.7
2015,Mayo,21.2,12.4,16.8
2015,Junio,18.2,8.8,13.5
2015,Julio,16.7,8.7,12.7
2015,Agosto,18.7,11.4,15.05
2015,Septiembre,19.2,10.1,14.65
2015,Octubre,20.2,11.7,15.95
2015,Noviembre,24.8,15.5,20.15
2015,Diciembre,29.8,19.9,24.85
2016,Enero,31,21.3,26.15
2016,Febrero,31.2,21,26.1
2016,Marzo,25.8,16.5,21.15
2016,Abril,20.6,14,17.3
2016,Mayo,16,9.2,12.6
2016,Junio,14.8,6.4,10.6
2016,Julio,14.1,7.8,10.95
2016,Agosto,18.8,8.6,13.7
2016,Septiembre,19.2,9.9,14.55
2016,Octubre,21.8,13.8,17.8
2016,Noviembre,26.5,15.7,21.1
2016,Diciembre,30.8,19.7,25.25
2017,Enero,30.4,20.9,25.65
2017,Febrero,30.1,20.6,25.35
2017,Marzo,26.9,18,22.45
2017,Abril,23.5,14.3,18.9
2017,Mayo,19.5,12.3,15.9
2017,Junio,17.9,9.5,13.7
2017,Julio,17,9.7,13.35
2017,Agosto,19.2,11.1,15.15
2017,Septiembre,20.3,11.6,15.95
2017,Octubre,23,11.3,17.15
2017,Noviembre,26.2,15.2,20.7
2017,Diciembre,30.3,19.1,24.7
2018,Enero,31.4,20.8,26.1
2018,Febrero,30.4,20.3,25.35
2018,Marzo,27.9,17.1,22.5
2018,Abril,25.7,18.6,22.15
2018,Mayo,20.3,13.2,16.75
2018,Junio,15.7,6.9,11.3
2018,Julio,13.5,8,10.75
2018,Agosto,17,8,12.5
2018,Septiembre,21.5,13.8,17.65
2018,Octubre,22.4,13.2,17.8
2018,Noviembre,26.3,16.7,21.5
2018,Diciembre,27.4,17.6,22.5
2019,Enero,29.3,20.7,25
2019,Febrero,29.1,19.2,24.15
2019,Marzo,25.6,16.8,21.2
2019,Abril,24.3,15,19.65
2019,Mayo,20.1,12,16.05
2019,Junio,17.8,11.3,14.55
2019,Julio,15.9,11.7,13.8
2019,Agosto,17.1,8.6,12.85
2019,Septiembre,20.4,10.4,15.4
2019,Octubre,22,13,17.5
2019,Noviembre,27.8,17.6,22.7
2019,Diciembre,29.5,18,23.75
2020,Enero,30,20.2,25.1
2020,Febrero,29.6,19.3,24.45
2020,Marzo,28.6,20.1,24.35
2020,Abril,22.8,13.6,18.2
2020,Mayo,20.4,11,15.7
2020,Junio,16.9,9.1,13
